sample_id,sentence,human_label,Zhang_label,Luo_label,Chen_label,Jiang_label,Li_label,majority_label,agreement_level,claude_consensus,claude_agreement_count,deepseek_consensus,deepseek_agreement_count,gemini_consensus,gemini_agreement_count,gpt_consensus,gpt_agreement_count,grok_consensus,grok_agreement_count,claude_p2,deepseek_p2,gemini_p2,gpt_p2,grok_p2,claude_p3,deepseek_p3,gemini_p3,gpt_p3,grok_p3,claude_p4,deepseek_p4,gemini_p4,gpt_p4,grok_p4,claude_p6,deepseek_p6,gemini_p6,gpt_p6,grok_p6,sample_group,llm_majority_label,explicit_marker_count,please,gratitude,apology,modal_verbs,hedges,deference,positive_words
11,"what happens when you type, for example, `git` on the command line?  Or `which git`?",Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
12,"@joelt -- good point, which I think is the ultimate debate going on now by the answerers below, but I would like to know (@everyone) how much of a difference is it at the beginning until they converge?  How significant is it to affect the resulting algorithm?",Polite,Polite,Polite,Polite,Neutral,Polite,Polite,4,Neutral,2,Neutral,4,Neutral,4,Neutral,2,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Polite,Neutral,Polite,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,3,0,0,0,1,1,0,1
13,"The character set in Oracle is 'WE8ISO8859P1' ... the eacute in my example is correctly stored in the database if I stay within Oracle ... but when I bring it into PHP via oci8, thats where the problem arises. Is there anything better than the charset_decode_utf_8 function ?",Polite,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
14,"Not sure what you are referring to when you say you need an SQL query builder for """"Python"""". Do you mean to say you need an ORM like SQLAlchemy (http://www.sqlalchemy.org/) to connect with databases without having to write SQL statements yourself?",Polite,Impolite,Neutral,Neutral,Neutral,Polite,Neutral,3,Neutral,3,Neutral,4,Neutral,3,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
15,"Computer Science classes, always fun times. Have you identified the errors above ?",Polite,Impolite,Neutral,Polite,Neutral,Neutral,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,3,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
16,How exactly have you set its height?  Have you implemented heightForRowAtIndexPath?,Polite,Neutral,Impolite,Impolite,Neutral,Impolite,Impolite,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
17,"Are you sure to have more than 4 images/node? Also, are you the one behind http://www.drupality.be?",Polite,Impolite,Impolite,Impolite,Neutral,Impolite,Impolite,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
18,@user12739 Give us more information please. What problem are you having exactly?,Polite,Neutral,Neutral,Polite,Polite,Polite,Polite,3,Neutral,3,Neutral,4,Polite,2,Neutral,3,Neutral,3,Neutral,Neutral,Polite,Polite,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Polite,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,1,1,0,0,0,0,0,0
19,"We already have a related (not a duplicate) question: [http://bicycles.stackexchange.com/q/1055/8](http://bicycles.stackexchange.com/questions/1055/which-states-or-countries-have-stop-sign-as-yield-laws-for-bicyclists-idaho-stop), but we never got a good summary of locations where the Idaho Stop was implemented--unless it's really only Idaho that has this law. Maybe make this a question asking how the law has worked out in these locations?",Polite,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,4,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,2,0,0,0,0,1,0,1
20,I've never heard that. Any links to horror stories?,Polite,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
21,When I see status with Firebus's Net Tab then it shows me Status 200. Is it right?,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,4,Neutral,4,Neutral,4,Neutral,3,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
22,"What type of device will be doing the dropping?  ASA, IPTables, WFP, ect?",Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
23,should the output rectangle have its sides parallel to the axes? ie. can the output rectangle also be rotated?,Polite,Neutral,Polite,Impolite,Neutral,Neutral,Neutral,3,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,2,0,0,0,2,0,0,0
24,Have you tried to fully uninstall your application from your development phone and reinstall it from scratch? Maybe your database creation method is wrong?,Polite,Polite,Polite,Impolite,Neutral,Impolite,Polite,2,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,1,0,0,0,0,1,0,0
25,Do you get any sort of error in Instruments when you plugin your iOS device? Is your iPhone Developer Program Membership up to date?,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,4,Neutral,4,Neutral,4,Neutral,3,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,1,0,0,0,0,1,0,0
26,"Hi SE7 - There's some vandalism coming from your account, see <url>.  As your past history doesn't seem to fit with this, has someoen either hacked your account or a logged-in session?",Polite,Polite,Neutral,Polite,Neutral,Neutral,Neutral,3,Polite,3,Neutral,4,Neutral,4,Neutral,2,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Polite,Neutral,Polite,Neutral,Neutral,Polite,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
27,"I've created another question to track the single-speed portion of the question. http://bicycles.stackexchange.com/questions/1983/ Here we can talk about """"why no freewheel?""""",Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,1,0,0,0,1,0,0,0
28,"Not what's commonly observed -- on the contrary an often heard complaint is that `print` statements from various threads get all mixed up.  What platform, OS and version, Python version, etc?",Polite,Impolite,Neutral,Neutral,Neutral,Neutral,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
29,the ability to read and write in Korean. (including in the source) So are you writing this from scratch or modifying an existing one?,Polite,Neutral,Neutral,Neutral,Impolite,Impolite,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
30,"Why must you sell the studded tires? Can't you just throw them in a closet during the summer, then remount them when winter rolls around?",Polite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,5,Neutral,4,Neutral,3,Neutral,4,Impolite,4,Neutral,4,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Impolite,Neutral,Impolite,Neutral,G1_Human_Polite_LLM_Neutral,Neutral,1,0,0,0,1,0,0,0
31,Any idea what happened here <url>? Buffer overflow because my comment was too long?,Impolite,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
32,You recently uploaded <url> as being in the public domain as its copyright was not renewed. Does the book indicate that its copyright was not renewed or do you have any other reason to believe that the L.A. Times did not renew the copyright?,Impolite,Impolite,Impolite,Neutral,Neutral,Impolite,Impolite,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
33,I assume you can code a balanced tree as a data structure. Why is forking processes interestingly different?,Impolite,Impolite,Impolite,Polite,Neutral,Neutral,Impolite,2,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,1,0,0,0,1,0,0,0
34,"@Gene Why is it that a handcrafted parser will beat a C++ parser generator?  Considering that writing a hand-crafted parser is a lot of code, isn't it possible that the hand-crafted parser could be much slower?",Impolite,Impolite,Neutral,Impolite,Neutral,Neutral,Neutral,3,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,1,0,0,0,1,0,0,0
35,"I've noticed that you're engaged in several edit wars, with Meliniki, regarding minor alterations to multiple Greek language articles. Perhaps you should consider discussing the changes on Meliniki's <url> instead?",Impolite,Polite,Impolite,Polite,Impolite,Polite,Polite,3,Neutral,2,Neutral,4,Neutral,4,Neutral,3,Neutral,2,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Polite,Neutral,Neutral,Impolite,Polite,Polite,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,2,0,0,0,1,1,0,0
36,what exactly do you have in mind? Sampling or search applications?,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,5,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
37,Do you still can use build-in rails validation with this custom exception class? Haven't you blogged about it?,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,5,Neutral,4,Neutral,3,Neutral,4,Neutral,2,Impolite,2,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Impolite,Neutral,Impolite,Impolite,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,1,0,0,0,1,0,0,0
38,Is Google Voice actually a Web App? Or is it more a smartphone app?,Impolite,Neutral,Neutral,,Neutral,Neutral,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
39,"Due to your edits to this template, <url> is now required on all transclusions.  Are you running a bot to clean this up?",Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,5,Neutral,4,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
40,"This isn't a question about LaTeX or friends, but about installing texlive. Perhaps move it to super user?",Impolite,Neutral,Neutral,Polite,Impolite,Neutral,Neutral,3,Polite,3,Neutral,4,Neutral,4,Neutral,3,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Polite,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,1,0,0,0,0,1,0,0
41,Your bot takes zh:u514bu91ccu65afu6258u5f17xb7u6885u7b56u723eu5fb7 off of the Christoph Metzelder page. What exactly is wrong with it?,Impolite,Neutral,Neutral,Neutral,Impolite,Impolite,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Impolite,4,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Impolite,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
42,"Im interested in where you got the information you added stating woodlands house was closed in 2003. As far as i can see your wording was taken from one website, the milesfaster one. Should you not cite the website you quoted rather than look for a couple of others?",Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,5,Neutral,2,Neutral,2,Neutral,4,Neutral,3,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Impolite,Neutral,Impolite,Neutral,Polite,Impolite,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,2,0,0,0,2,0,0,0
43,Back on topic Jigglyfidders; I totally agree with Deconstructhis on this one. What will you do to address this issue?,Impolite,Polite,Polite,Impolite,Impolite,Neutral,Polite,2,Neutral,4,Neutral,4,Neutral,4,Neutral,2,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
44,"Out of interest, why?  What do you use this for?",Impolite,Impolite,Neutral,Impolite,Impolite,Impolite,Impolite,4,Neutral,2,Neutral,4,Neutral,4,Neutral,2,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Polite,Neutral,Polite,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
45,Are the k in “k-CNF” and the k in the question the same variable?  And what is the parameter of this problem?,Impolite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,4,Neutral,4,Neutral,4,Neutral,3,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
46,"I don't understand this. There is an infinite number of possible strings between """"a longer string"""" and """"another long string"""", so how can you guarantee unique values?",Impolite,Neutral,Neutral,Impolite,Impolite,Impolite,Impolite,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,1,0,0,0,1,0,0,0
47,"What are you uploading the images for? Is it something that your theme will reference, or something that you want users to have access to and to be able to re-use images that you already posted in their own content?",Impolite,Neutral,Impolite,Impolite,Neutral,Neutral,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
48,Tell us what type of coating.  Is it a dry whitish streaks or spots?  Is it clear but has a texture?,Impolite,Neutral,Impolite,Impolite,Impolite,Neutral,Impolite,3,Neutral,4,Neutral,4,Neutral,4,Impolite,2,Neutral,3,Neutral,Neutral,Neutral,Impolite,Impolite,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
49,In this <url> there was a loss of some info.  Was that intentional?,Impolite,Impolite,Neutral,Neutral,Impolite,Neutral,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
50,"It's definitely a soft question, but right on the border. Maybe CW ?",Impolite,Polite,Polite,Polite,Impolite,Neutral,Polite,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,1,0,0,0,0,1,0,0
51,"so you're saying that <img src=""""local/file.jpg"""" /> works but <img src=""""http://server.com/img/file.jpg"""" /> does not work? Am I understanding right now?",Impolite,Neutral,Polite,Polite,Neutral,Polite,Polite,3,Neutral,2,Neutral,4,Neutral,3,Neutral,4,Neutral,3,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Polite,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
