sentence,human_score,claude_p1,deepseek_p1,gemini_p1,gpt_p1,grok_p1,claude_p2,deepseek_p2,gemini_p2,gpt_p2,grok_p2,claude_p3,deepseek_p3,gemini_p3,gpt_p3,grok_p3,claude_p4,deepseek_p4,gemini_p4,gpt_p4,grok_p4,claude_p5,deepseek_p5,gemini_p5,gpt_p5,grok_p5,claude_p6,deepseek_p6,gemini_p6,gpt_p6,grok_p6,strategy
<url> wasn't me. Could you possibly go back and correct the AN/I thread?,0.01131318634,0.783451692,2.299406483,0.682749381,0.214893572,0.827394512,0.783456789,2.299406483,0.653849274,0.672,0.731871161,0.783456219,2.299406483,0.685392157,0.21738492,2.299406483,0.783456219,2.299406483,0.987654321,1.21738492,2.299406483,0.783451926,0.758392146,0.684722222,0.697384215,2.299406483,1.23456789,0.75,1.357923461,1.384927516,1.127834512,"Hedges, Questions, Subjunctive, First_person, Second_person, Modal_verbs"
<url>! Shall we greet him as he deserves?,0.2595328117,-0.783451692,2.299406483,-1.987644521,-1.024583917,0.127394821,-0.785634921,2.299406483,-1.750394852,-0.482,-0.587392145,-0.847362519,2.299406483,-1.873592645,-1.013487295,0.127394821,0.0,2.299406483,-1.857392648,-0.912384721,2.299406483,-1.23456789,0.75,-1.85,-0.687519384,-0.583274916,-0.783451926,0.75,-0.675392164,-0.412384729,0.827364512,"Questions, Greeting, First_person"
A proposal has been made for the above WikiProject at <url>. Would you be interested in contributing to it?,0.368109013,1.23456789,2.299406483,0.9875332199,1.384217593,1.247893456,1.23456789,2.299406483,0.850293746,1.203948572,1.245813579,1.23456789,2.299406483,0.953487612,1.38492751,1.247893456,1.23456789,2.299406483,1.23456789,1.21738492,2.299406483,1.783654219,1.872563819,1.357894321,1.412384615,1.387592199,1.23456789,1.503499841,1.357894321,1.442893187,1.347892156,"Questions, Subjunctive, Second_person, Modal_verbs"
"APS = <url>. You lost me, which plant are you referring to above?",0.8112146825,-0.234567891,2.299406483,-0.6947395416,-0.377194682,-0.372819453,0.23456789,2.299406483,-0.25,-0.3124875,-0.673482519,-0.234567891,2.299406483,-0.623456789,-0.412983572,-0.372819453,0.234567891,2.299406483,-0.253846154,-0.624893217,-0.673291458,0.283647591,-0.25,-0.623456789,-0.312487591,-0.357284916,-0.234567891,2.299406483,-0.653846153,-0.312874509,-0.372819453,"Questions, Indicative, Greeting, First_person, Second_person"
About ten days ago I made some changes in response to your comments. Can you please look at them and make your GA decision?,0.2023288245,1.23456789,2.299406483,0.328554793,0.713928472,1.247583916,1.23456789,1.75,0.623456789,2.101384729,1.23456789,1.23456789,2.299406483,0.457893215,0.713984217,1.247583916,0.783456219,1.123456789,0.682394751,0.71398254,1.127834512,0.783456921,1.203456789,0.251123598,0.713284519,1.127834512,1.23456789,1.456789012,0.685739215,1.124583091,1.127834512,"Please, Questions, Indicative, First_person, Second_person, Modal_verbs"
Afterthought: where did you get your figure of 82500 tons pa??,-0.8804571332,-0.783451269,2.299406483,-0.6229485773,-0.912384721,-0.673214589,-0.23456789,2.299406483,-0.623456789,-0.624893,-0.587392145,-0.583692471,2.299406483,-0.653846153,-0.728491237,-0.673214589,-0.453627891,2.299406483,-0.753921468,-1.12849372,2.299406483,-0.783456219,-0.708516643,-0.653927841,-0.911274583,-0.587392145,-0.583921647,-0.75,-0.623584623,-0.682174109,-0.673214589,"Hedges, Questions, Second_person"
"Ah okay. In that case I'm going to tag it for deletion as a redundant redirect, if that's okay with you?",-0.4459144182,1.23456789,2.299406483,0.478201698,1.384209572,1.127834512,1.23456789,1.75,1.345678901,1.482,1.23456789,1.23456789,2.299406483,0.987654321,1.324587193,1.127834512,0.783456219,1.75,1.23456789,1.184927361,1.127394528,1.283647591,1.703849162,1.357894231,1.384927516,1.247583916,1.23456789,1.456789012,1.357894321,1.184203759,1.127834512,"Questions, Second_person"
"Ah, I see. Although surely Aaron Lennon was younger when he first played for England?",0.521687899,0.234567891,2.299406483,0.3446716481,-0.312849573,0.127394821,-0.23456789,0.5,0.5,-0.482,0.623417892,-0.234567891,2.299406483,0.456789123,-0.312984217,0.127394512,0.234567891,2.299406483,0.456789123,-0.31284957,2.299406483,0.283647591,0.825,0.4592376482,0.123847591,0.127583492,-0.234567891,0.456789123,0.357894321,-0.312487194,0.127394528,"Questions, First_person, Factuality"
"Alf has a large <url> in Germany. How on earth do you know that he is a character """"almost no one knows about"""" Where you get your f'n info?",0.3448227736,-1.837492651,2.299406483,-2.457001687,-2.183947216,-2.13456789,-2.103456789,2.299406483,-2.3456789,-2.153849201,-2.345678901,-1.837492651,2.299406483,-2.345678901,-2.22148793,-2.13456789,-2.183647592,2.299406483,-2.345678901,-2.338591274,-2.13456789,-2.183647592,-2.108475392,-2.357894321,-2.134892107,-2.13456789,-1.837492651,-1.87654321,-2.257893456,-2.134895732,-1.873294517,"Hedges, Questions, Indicative, Second_person"
"All is good here, hopefully the same with yourself. How many English first-class cricketer you think we've got to get done in total?",-0.9967273432,1.23456789,2.299406483,0.4397492758,1.138947215,1.247583916,1.23456789,2.299406483,0.650392741,0.713295184,1.245813567,1.23456789,2.299406483,0.912345678,1.187203948,1.247583916,1.23456789,2.299406483,0.912345678,0.713285492,2.299406483,1.247893561,1.25,0.923456789,0.587319427,1.387592199,1.23456789,2.299406483,0.934578912,1.113847209,1.347892156,"Hedges, Questions, Greeting, Positive_words, Second_person, Deference"
"Already past my two """"spelling correction"""" edits ;) (though they are obsessed with defense). I noticed one of them changed a quoted spelling: ''acknowledgment'' to ''acknowledgement'', did you get that one?",-1.189138415,-0.234567891,2.299406483,0.3155894469,-0.62438157,0.237891456,-0.23456789,2.299406483,-0.250384759,-0.62438751,-0.387654321,-0.234567891,2.299406483,0.111526387,-0.624158397,-0.237584192,-0.234567891,2.299406483,0.23456789,-0.624381927,2.299406483,-0.283647591,0.123456789,0.211583456,-0.384217591,0.127583941,-0.783451926,2.299406483,0.112583746,-0.624193871,-0.372819453,"Questions, Greeting, First_person, Second_person"
"Also - for some reason images on image pages now appear in full size when I view them, rather than more convienient viewing sizes. Do you know how I can fix this?",-0.3981593957,0.876543219,2.299406483,0.433684532,0.713284912,0.847263519,0.783456789,2.299406483,0.650384729,0.89234751,0.673214589,0.783456219,2.299406483,0.457893214,0.813294217,0.728394127,0.783456219,2.299406483,0.456789123,0.713284927,2.299406483,0.783456219,0.873456289,0.456789012,0.87214639,0.728394127,0.683945217,2.299406483,0.347891235,0.482193017,0.673214589,"Hedges, Questions, Indicative, Greeting, First_person, Second_person, Modal_verbs"
"Also, If we replace the maps with an image of a monument, then we could eliminate the architecture part. It would also make the article look colourful.Opinions?",-1.333993295,0.783456219,2.299406483,0.2948573863,0.31289457,0.847263519,0.783456789,2.299406483,0.5,0.613284927,0.678294512,0.783451269,2.299406483,0.457893214,0.31298457,0.847263519,0.783456219,1.183729456,0.456789123,0.312984217,2.299406483,0.783456921,1.375290624,0.487592347,0.312984217,0.784512369,0.783451926,1.205678934,0.457893215,0.417283019,0.673214589,"Questions, Greeting, First_person, Modal_verbs"
An AfD was started for that page before you speedy-nuked it. Could you close <url> please?,-0.8993364164,-0.783451926,2.299406483,-1.137894358,-1.184729003,-0.372819453,-0.23456789,0.732156894,-0.15,-0.823947512,0.728394512,-0.783451926,2.299406483,-0.325894375,-1.134892307,0.237891456,-0.23456789,2.299406483,-1.123456789,-1.13489257,2.299406483,-0.783451926,-0.308475921,-0.621153846,-0.924781563,-0.357284619,-0.234567891,-0.35,-0.678453923,-0.684217391,0.673214589,"Please, Questions, Subjunctive, Second_person, Modal_verbs"
An IP is complaining that I'm violating policy by removing unlinked nonnotable band members from the notable natives and residents section of <url>. Can you help me please?,0.594558989,0.783456219,2.299406483,0.4592740314,0.7123849201,0.728394512,1.23456789,2.299406483,1.899999999,1.21738492,0.731871161,0.783456219,2.299406483,0.685739215,0.74298351,0.731871161,0.583647291,2.299406483,0.684927351,0.713284591,0.728394517,0.783456219,1.125,0.934857291,0.912384217,0.784623519,0.783456219,0.825671342,0.627384921,0.713284192,0.827341592,"Please, Questions, Indicative, First_person, Second_person, Modal_verbs"
An article about a craver named <url> needs some work. Can you clean the article up?,-0.445849708,0.583647291,2.299406483,0.0499726885,-0.48219374,0.674328571,0.783456789,0.75,0.512345678,-0.412,0.731871161,0.583647291,2.299406483,0.325794361,-0.48219374,0.673214589,0.234567891,2.299406483,0.123456789,-0.312497583,2.299406483,0.428571429,0.75,-0.623487593,-0.624183927,0.623847519,0.783451926,0.75,-0.357894321,0.212384719,0.673214589,"Questions, Indicative, Second_person, Modal_verbs"
And now you undid my declination of that one which was copyrighted. Would you ''please'' quit undoing my declinations?,0.3011442482,-1.837465923,2.299406483,-1.768549203,-1.62489357,-1.23456789,-1.23456789,2.299406483,-1.750293746,-1.203948572,0.528433624,-1.837465921,2.299406483,-1.753928461,-1.62489357,-1.23456789,-1.783645921,2.299406483,-1.753928461,-1.684927153,-1.23456789,-1.783946215,-0.75,-1.823578942,-1.624583927,-1.23456789,-1.783945612,-0.850392847,-1.785392658,-1.324857193,-1.237584619,"Please, Questions, Subjunctive, Greeting, First_person, Second_person, Modal_verbs"
And what about <person>? Does it need fixed now too?,-0.5020554564,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,-0.445849708,Questions
Anon keeps reverting back. what should we do?,0.1222890012,-0.583692471,2.299406483,-1.196530111,-0.412583927,-0.387654321,-0.23456789,-0.35,-0.256789012,-0.312,-0.483474796,-0.583692471,-0.25,-0.673928574,-0.412893726,-0.372849715,-0.234567891,-0.35,-0.652937482,-0.39284751,2.299406483,-0.783645921,-0.123456789,-0.65,-0.312497583,-0.387594321,-0.583921647,-0.35,-0.657382957,-0.482193701,-0.372819453,"Hedges, Questions, First_person, Modal_verbs"
"Apologies, I was busy prod'ding this article when you speedily deleted it, so I inadvertently re-created it. Can you delete it again, please?",0.7603088526,1.783459267,2.299406483,1.307626115,1.21738492,1.847263519,2.123456789,2.299406483,1.853927461,2.143298572,2.13456789,1.783459267,2.299406483,1.123456789,1.384927516,1.847263519,1.783645921,1.75,1.123456789,1.384927516,1.847263519,1.783692451,1.402837561,1.387654321,1.384217592,1.784623519,1.847392651,1.456789012,1.357894321,1.427593184,1.784623519,"Please, Apologizing, Questions, Indicative, Greeting, First_person, Second_person, Modal_verbs"
Are you saying that it's impossible for Wikipedia to admit that most people don't know the true meaning of slavery? That it's my point of view & original research in understanding what the true meaning of slavery is?,-0.513198673,-1.23456789,-0.75,-1.782284746,-1.024389217,-1.237584192,-1.23456789,-0.75,-1.157384629,-0.82349712,-1.23456789,-1.23456789,-0.75,-1.123456789,-1.134892107,-1.237584192,-1.23456789,2.299406483,-1.157392157,-1.184927563,2.299406483,-1.283647591,-1.208376543,-1.654839271,-1.123847591,-1.127583492,-1.23456789,-1.25,-1.357894321,-1.134892057,-1.237584619,"Hedges, Questions, Indicative, First_person, Second_person"
As a UM Bishop he is certainly notable. What was the source of the copyvio?,-2.117984327,0.234567891,2.299406483,0.112249901,0.013487209,0.237891456,0.23456789,2.299406483,0.5,0.54738291,-0.483474796,0.234567891,2.299406483,0.112345678,0.113284917,0.237891456,0.234567891,2.299406483,0.123456789,0.21738492,2.299406483,-0.283647591,0.75,-0.23456789,0.183947216,-0.283746519,-0.234567891,0.45,0.112358791,0.112384927,0.127394821,"Questions, Factuality"
Being too efficient can be detrimental - what if I was doing it in the wrong order - does that allow my reversion if indeed I do utilise the abbreviation? A simple enquiry might have been in order?,0.314662455,-0.876543219,2.299406483,-1.597338474,-0.943287511,-0.673214589,-0.783456219,2.299406483,-1.157384629,-0.89237412,-0.673291458,-0.876543219,2.299406483,-1.357924683,-0.93428751,-0.673214589,0.234567891,2.299406483,-0.753928461,-0.82349712,2.299406483,-0.783451926,0.725,-1.123456789,-0.823509217,-0.587341256,-0.876543219,2.299406483,-1.123587941,-0.924183509,-0.673291547,"Hedges, Questions, Negative_words, First_person, Modal_verbs"
But ''you're'' the one branding his work as anti-Semitic! See what I mean about bad faith?,-1.204651374,-1.837462591,2.299406483,-2.041592723,-2.134857902,-1.873294517,-1.783645921,2.299406483,-1.750987654,-2.013487529,-2.13456789,-1.837462591,2.299406483,-2.015739864,-2.018374927,-1.873294517,-2.183645921,2.299406483,-1.853927461,-2.011384927,2.299406483,-2.183647592,-1.987654321,-2.011578947,-2.021384217,-1.847392156,-1.847392651,-1.856492347,-1.876543219,-2.034285719,-1.873592199,"Questions, Greeting, Negative_words, First_person"
"But do you think you can take your concerns to the talk page? Crazy notion, eh?",-0.02695707025,-1.23456789,2.299406483,-1.588085631,-1.38492751,-0.873251649,-1.23456789,-1.23456789,-1.157894321,-1.732,-1.23456789,-1.23456789,2.299406483,-1.123456789,-1.482930176,-0.873251649,-0.783456219,-0.75,-0.953467823,-1.684927315,2.299406483,-0.892647351,-0.75,-0.623584734,-1.624583927,-0.587392145,-1.23456789,-0.750392817,-1.157384627,-1.324871095,-1.127394582,"Hedges, Questions, Indicative, Greeting, Negative_words, Second_person, Modal_verbs"
But he's still a WHU registered player with a squad number. Is that really the right thing to do?,-0.01335911798,-0.783451926,2.299406483,-0.6238469956,-0.583217491,-0.387654321,-0.23456789,2.299406483,-0.1,-0.482,-0.586743031,-0.783451926,2.299406483,-0.325847392,-0.624398217,-0.387592199,-0.678945321,2.299406483,-0.357892456,-0.482193764,-0.623541789,-0.583921647,0.123456789,-0.23456789,-0.482913764,-0.283574129,-0.783451926,-0.35,-0.623584723,-0.624893102,-0.623471589,"Questions, Greeting, Factuality"
Can you help patroling <url> page???,-0.02752464006,0.234567891,2.299406483,0.5023692537,-0.912384726,0.673214589,0.23456789,0.75,0.5,-0.682,0.731871161,0.234567891,2.299406483,0.357894231,-0.911384276,0.721394827,0.234567891,2.299406483,0.456789123,-1.134728492,0.623417892,-0.283647591,0.123456789,-0.35,-0.912384761,0.284716352,0.283647591,0.123456789,0.357294638,-0.927384102,-0.756382941,"Questions, Indicative, Second_person, Modal_verbs"
Can you look at this page <url> and tell me what you think. It has the vandal picture but wasn't edited today?,-1.073125745,0.583647291,2.299406483,0.4883847457,-0.312487591,0.673214589,0.583746291,0.75,0.623456789,0.512384927,0.673214589,0.583647291,2.299406483,0.457892345,-0.312487509,0.673214589,0.583647291,2.299406483,0.687239451,-0.324187509,0.673214589,0.583647291,0.723456789,0.487654321,-0.384217591,0.623847519,0.234567891,0.75,0.687392154,-0.412583947,0.673214589,"Hedges, Questions, Indicative, Greeting, First_person, Second_person, Modal_verbs"
"Can you please explain what the two fields you added to the table at <url> are supposed to mean? What """"reaction""""?",-0.02929283592,0.234567891,2.299406483,0.4928573917,0.2173849201,0.673214589,0.583746291,0.75,0.650348572,0.512384927,0.827364519,0.234567891,2.299406483,0.357892345,0.2173849201,0.782394127,0.23456789,2.299406483,-0.623456789,0.21738492,2.299406483,0.583647291,0.987654321,0.251122345,0.312847591,0.784623519,0.234567891,0.75,0.357894321,0.613284927,0.673214589,"Please, Hedges, Questions, Indicative, Second_person, Modal_verbs"
"Can you respond to the comments I left on the S&M PR page please. If you are satisfied with the changes, can you tell me if it is qualifiable for FAN and if not for FAN, then for A class status?",-0.06679508347,0.524280035,2.299406483,0.5242800359,0.5242800359,0.524280036,0.524280036,0.5242800359,0.524280036,0.524280035,0.524280036,0.524280036,0.5242800359,0.5242800359,0.524280035,0.524280036,0.524280036,0.524280035,0.524280035,0.524280035,0.524280036,0.524280036,0.524280035,0.5242800359,0.524280035,0.524280036,0.524280036,0.5242800359,0.5242800359,0.5242800359,0.524280036,"Please, Questions, Indicative, Positive_words, First_person, Second_person, Modal_verbs"
Commons <url> has been at Deletion Requests since July. Can it be closed now?,0.6065312709,0.234567891,2.299406483,0.349583128,-0.312487591,0.673214589,0.23456789,2.299406483,0.6,0.537219846,0.527394821,0.234567891,2.299406483,0.112345678,-0.312487591,0.673214589,-0.234567891,2.299406483,0.112345678,-0.312487591,2.299406483,0.283647591,0.428571428,0.123456789,-0.312684927,0.528433624,0.234567891,0.75,0.253847592,-0.21738492,0.673214589,"Questions, Modal_verbs"
"Converting <url> to a redirect without preserving either the information or sources, & without discussion was ill-advised. A bit more care in future?",-0.1932691052,-1.23456789,2.299406483,-1.734912589,-1.684927153,-1.237584192,-1.23456789,2.299406483,-1.458392746,-1.732,-1.23456789,-1.23456789,2.299406483,-1.683592744,-1.684209573,-1.237584192,-0.783456219,2.299406483,-1.753928461,-1.834217509,2.299406483,-1.23456789,-0.75,-1.625384927,-1.684927512,-1.23456789,-1.23456789,-1.23456789,-1.653846154,-1.684320571,-1.673284519,Questions
"Crimson, there is a discussion at <url> where we have implemented a new template for bot operators when their bot is blocked stating that it is in ''no way'' an indication or accusation of wrong doing on the operator's behalf. I'm sorry you have interpreted that way - would you be willing to re-consider your retirement?",0.1729880345,1.783456921,1.87654321,0.931944223,1.217384927,1.847263519,1.783456789,1.87654321,1.3456789,1.487302194,1.847263519,1.783456219,2.299406483,0.912345678,1.184927563,1.847263519,1.783456921,2.299406483,1.123456789,1.134208591,2.299406483,1.783692451,1.85,0.897634512,1.384217562,1.847263519,1.783945621,1.87654321,0.934578231,1.287409563,1.784623519,"Apologizing, Questions, Subjunctive, Negative_words, First_person, Second_person, Modal_verbs"
"Despite my best efforts, I've been unable to find the coordinates for the <url>: it's a specific little spot somewhere on a rail line between two villages, 3 miles apart. Is the """"coord missing"""" template appropriate, since they're missing, or is it inappropriate, since I believe that no reliable source has that information?",0.9728244616,1.23456789,2.299406483,0.4399583649,1.183947215,0.847291356,1.23456789,2.299406483,0.853927461,1.21738492,0.728394512,1.23456789,2.299406483,0.457893214,1.21738492,0.847263519,1.234,2.299406483,0.457892345,1.113948205,2.299406483,1.283647591,2.299406483,0.897345621,1.287496382,0.927384512,0.892345671,2.299406483,0.357892345,1.21738492,0.782341567,"Questions, Greeting, First_person"
Did you see the final messages on that now banned user 100% Christians page? They really show he is 100 percent Christian dont they?,0.8327786009,-1.23456789,2.299406483,-1.302573284,-1.41289357,-0.673294517,-1.23456789,-0.75,-0.357942163,-1.23456789,-0.673482519,-1.23456789,2.299406483,-1.123456789,-1.384729512,-0.673294517,-1.23456789,2.299406483,-0.753928461,-1.624893217,2.299406483,-1.783692451,-1.208475396,-1.157392174,-1.384927512,-1.238574192,-1.783945612,-1.23456789,-1.123456789,-1.324587103,-0.673291547,"Questions, Greeting, Second_person, Factuality"
"Don't push it, Zachary. Can you give me proof of the existence of """"MusicMaximum Hot 100""""?",-0.1052397763,-1.23456789,2.299406483,-1.710360806,-1.784392517,-1.23456789,-1.23456789,-1.25,-1.75,-1.732,-1.23456789,-1.23456789,2.299406483,-1.873592461,-1.684209573,-1.23456789,-1.23456789,2.299406483,-1.87654321,-1.732984217,2.299406483,-1.283647591,-1.208437629,-1.623456789,-1.684392517,-1.23456789,-1.23456789,-1.23456789,-1.876543219,-1.384927153,-1.324587619,"Questions, Indicative, First_person, Second_person, Modal_verbs"
Drat forgot to sign. You blanked my talk page and asked if I don't like K's?,1.217592555,-0.876543219,2.299406483,-1.478339942,-1.184937521,-0.673482519,-0.875432109,2.299406483,-1.157392148,-0.832174509,-1.23456789,-0.876543219,2.299406483,-1.123456789,-1.023847591,-0.673214589,-1.23456789,2.299406483,-1.153846154,-1.184927531,2.299406483,-1.283647591,-0.75,-1.157384627,-0.912384217,-0.837251349,-1.23456789,-1.23456789,-1.357894321,-0.911384027,-0.873241592,"Questions, Positive_words, First_person, Second_person"
"Dude, what's going on? Why are you leaving?",0.2207768847,-0.234567891,-0.75,-1.459638411,-0.89421537,-0.357892145,-0.45,-0.75,-0.653846153,-0.823,-0.583472196,-0.234567891,-0.75,-0.912345678,-0.943287512,-0.673214589,-0.475938261,-0.75,-0.953467821,-1.324581027,2.299406483,-0.583692471,-0.25,-0.675438596,-0.732184927,-0.583274916,-0.583921647,-0.75,-1.157384628,-0.911284732,-0.673214589,"Questions, Indicative, Second_person"
"ED... They have drugs to fix that now, don't they?",-1.024536684,-2.345678901,2.299406483,-2.028475849,-2.032847159,-1.23456789,-2.345678901,2.299406483,-1.459372846,-2.354891237,-1.23456789,-2.183647591,2.299406483,-1.456789012,-2.003948217,-1.23456789,-1.23456789,-1.25,-1.257392157,-1.38492751,2.299406483,-1.783692451,-1.75,-1.457893456,-2.134785902,-1.387592199,-1.837492651,-1.75,-1.357942357,-1.684239512,-1.237584192,"Questions, Greeting"
"Email from the Darkshado guy complaining about you adding him to the spamlist. I searched the site and couldn't find any of our articles replicated there; has he removed them, or what?",-2.254306312,-0.234567891,2.299406483,-1.237654892,-1.184927305,-1.237584192,-0.23456789,-0.75,-1.157894737,-0.682194731,-1.23456789,-0.234567891,2.299406483,-0.912345678,-1.184927315,-1.237584192,-0.783456219,2.299406483,-1.123456789,-0.964381527,2.299406483,-0.783451926,-0.75,-0.675392683,-1.184927315,-1.127583492,-0.234567891,-0.75,-1.357924683,-0.943287159,-1.127394582,"Questions, Greeting, First_person, Second_person"
"Evidently, I don't have enough consciousness, because I haven't the foggiest idea of what you're talking about. Could you tell me?",-0.574062532,0.783456219,2.299406483,0.349857201,-0.412893572,0.673214589,0.783456789,2.299406483,0.653849276,-0.823,0.728394512,0.783451692,2.299406483,0.345678901,-0.312847591,0.673214589,0.283645921,2.299406483,-0.357892345,-0.312587491,0.673214589,0.783451926,0.75,1.23456789,-0.21738492,0.827364519,0.783451926,-0.75,-0.325847392,0.312849573,0.827394512,"Questions, Subjunctive, First_person, Second_person, Modal_verbs"
